Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
     360     180
Longitude Latitude Br
  5.0000000000E-01 -8.5728435562E+01 -8.4282499147E+00
  1.5000000000E+00 -8.5728435562E+01 -8.4302073481E+00
  2.5000000000E+00 -8.5728435562E+01 -8.4321677705E+00
  3.5000000000E+00 -8.5728435562E+01 -8.4341314806E+00
  4.5000000000E+00 -8.5728435562E+01 -8.4360984786E+00
  5.5000000000E+00 -8.5728435562E+01 -8.4380666721E+00
  6.5000000000E+00 -8.5728435562E+01 -8.4400372567E+00
  7.5000000000E+00 -8.5728435562E+01 -8.4420090368E+00
  8.5000000000E+00 -8.5728435562E+01 -8.4439814148E+00
  9.5000000000E+00 -8.5728435562E+01 -8.4459540917E+00
  1.0500000000E+01 -8.5728435562E+01 -8.4479264696E+00
  1.1500000000E+01 -8.5728435562E+01 -8.4498979509E+00
  1.2500000000E+01 -8.5728435562E+01 -8.4518694322E+00
  1.3500000000E+01 -8.5728435562E+01 -8.4538391202E+00
  1.4500000000E+01 -8.5728435562E+01 -8.4558064170E+00
  1.5500000000E+01 -8.5728435562E+01 -8.4577719205E+00
  1.6500000000E+01 -8.5728435562E+01 -8.4597344350E+00
  1.7500000000E+01 -8.5728435562E+01 -8.4616933629E+00
  1.8500000000E+01 -8.5728435562E+01 -8.4636481064E+00
  1.9500000000E+01 -8.5728435562E+01 -8.4655992631E+00
  2.0500000000E+01 -8.5728435562E+01 -8.4675453387E+00
  2.1500000000E+01 -8.5728435562E+01 -8.4694866321E+00
  2.2500000000E+01 -8.5728435562E+01 -8.4714219476E+00
  2.3500000000E+01 -8.5728435562E+01 -8.4733509865E+00
  2.4500000000E+01 -8.5728435562E+01 -8.4752728519E+00
  2.5500000000E+01 -8.5728435562E+01 -8.4771884407E+00
  2.6500000000E+01 -8.5728435562E+01 -8.4790953617E+00
  2.7500000000E+01 -8.5728435562E+01 -8.4809951093E+00
  2.8500000000E+01 -8.5728435562E+01 -8.4828864879E+00
  2.9500000000E+01 -8.5728435562E+01 -8.4847677043E+00
  3.0500000000E+01 -8.5728435562E+01 -8.4866396551E+00
  3.1500000000E+01 -8.5728435562E+01 -8.4885017425E+00
  3.2500000000E+01 -8.5728435562E+01 -8.4903539665E+00
  3.3500000000E+01 -8.5728435562E+01 -8.4921939360E+00
  3.4500000000E+01 -8.5728435562E+01 -8.4940222487E+00
  3.5500000000E+01 -8.5728435562E+01 -8.4958395026E+00
  3.6500000000E+01 -8.5728435562E+01 -8.4976439041E+00
  3.7500000000E+01 -8.5728435562E+01 -8.4994345567E+00
  3.8500000000E+01 -8.5728435562E+01 -8.5012126559E+00
  3.9500000000E+01 -8.5728435562E+01 -8.5029764083E+00
  4.0500000000E+01 -8.5728435562E+01 -8.5047252162E+00
  4.1500000000E+01 -8.5728435562E+01 -8.5064596774E+00
  4.2500000000E+01 -8.5728435562E+01 -8.5081776996E+00
  4.3500000000E+01 -8.5728435562E+01 -8.5098792828E+00
  4.4500000000E+01 -8.5728435562E+01 -8.5115653238E+00
  4.5500000000E+01 -8.5728435562E+01 -8.5132343279E+00
  4.6500000000E+01 -8.5728435562E+01 -8.5148856976E+00
  4.7500000000E+01 -8.5728435562E+01 -8.5165179382E+00
