Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
     180     180
Longitude Latitude Br
  1.7453292520E-02 -1.5620696805E+00 -8.4292286314E+00
  5.2359877560E-02 -1.5620696805E+00 -8.4331496256E+00
  8.7266462600E-02 -1.5620696805E+00 -8.4370825753E+00
  1.2217304764E-01 -1.5620696805E+00 -8.4410231468E+00
  1.5707963268E-01 -1.5620696805E+00 -8.4449677532E+00
  1.9198621772E-01 -1.5620696805E+00 -8.4489122103E+00
  2.2689280276E-01 -1.5620696805E+00 -8.4528542762E+00
  2.6179938780E-01 -1.5620696805E+00 -8.4567891687E+00
  2.9670597284E-01 -1.5620696805E+00 -8.4607138990E+00
  3.3161255788E-01 -1.5620696805E+00 -8.4646236847E+00
  3.6651914292E-01 -1.5620696805E+00 -8.4685159854E+00
  4.0142572796E-01 -1.5620696805E+00 -8.4723864670E+00
  4.3633231300E-01 -1.5620696805E+00 -8.4762306463E+00
  4.7123889804E-01 -1.5620696805E+00 -8.4800452355E+00
  5.0614548308E-01 -1.5620696805E+00 -8.4838270961E+00
  5.4105206812E-01 -1.5620696805E+00 -8.4875706988E+00
  5.7595865316E-01 -1.5620696805E+00 -8.4912739512E+00
  6.1086523820E-01 -1.5620696805E+00 -8.4949308756E+00
  6.4577182324E-01 -1.5620696805E+00 -8.4985392304E+00
  6.8067840828E-01 -1.5620696805E+00 -8.5020945321E+00
  7.1558499332E-01 -1.5620696805E+00 -8.5055924468E+00
  7.5049157836E-01 -1.5620696805E+00 -8.5090284912E+00
  7.8539816340E-01 -1.5620696805E+00 -8.5123998258E+00
  8.2030474844E-01 -1.5620696805E+00 -8.5157018179E+00
  8.5521133348E-01 -1.5620696805E+00 -8.5189299840E+00
  8.9011791852E-01 -1.5620696805E+00 -8.5220807375E+00
  9.2502450356E-01 -1.5620696805E+00 -8.5251500433E+00
  9.5993108860E-01 -1.5620696805E+00 -8.5281343149E+00
  9.9483767364E-01 -1.5620696805E+00 -8.5310284709E+00
  1.0297442587E+00 -1.5620696805E+00 -8.5338295226E+00
  1.0646508437E+00 -1.5620696805E+00 -8.5365331360E+00
  1.0995574288E+00 -1.5620696805E+00 -8.5391354255E+00
  1.1344640138E+00 -1.5620696805E+00 -8.5416325057E+00
  1.1693705988E+00 -1.5620696805E+00 -8.5440209391E+00
  1.2042771839E+00 -1.5620696805E+00 -8.5462971392E+00
  1.2391837689E+00 -1.5620696805E+00 -8.5484560248E+00
  1.2740903540E+00 -1.5620696805E+00 -8.5504959520E+00
  1.3089969390E+00 -1.5620696805E+00 -8.5524130352E+00
  1.3439035240E+00 -1.5620696805E+00 -8.5542035383E+00
  1.3788101091E+00 -1.5620696805E+00 -8.5558634264E+00
  1.4137166941E+00 -1.5620696805E+00 -8.5573909059E+00
  1.4486232792E+00 -1.5620696805E+00 -8.5587823903E+00
  1.4835298642E+00 -1.5620696805E+00 -8.5600354885E+00
  1.5184364492E+00 -1.5620696805E+00 -8.5611467631E+00
  1.5533430343E+00 -1.5620696805E+00 -8.5621141220E+00
  1.5882496193E+00 -1.5620696805E+00 -8.5626908311E+00
  1.6231562044E+00 -1.5620696805E+00 -8.5623911934E+00
  1.6580627894E+00 -1.5620696805E+00 -8.5619427083E+00
  1.6929693744E+00 -1.5620696805E+00 -8.5613444791E+00
  1.7278759595E+00 -1.5620696805E+00 -8.5605965058E+00
  1.7627825445E+00 -1.5620696805E+00 -8.5596983401E+00
  1.7976891296E+00 -1.5620696805E+00 -8.5586504302E+00
  1.8325957146E+00 -1.5620696805E+00 -8.5574529257E+00
  1.8675022996E+00 -1.5620696805E+00 -8.5561061254E+00
  1.9024088847E+00 -1.5620696805E+00 -8.5546103282E+00
  1.9373154697E+00 -1.5620696805E+00 -8.5529677759E+00
