Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
      20      20
Longitude Latitude Br
  1.5707963268E-01 -1.4922565105E+00 -3.0193912015E+00
  4.7123889804E-01 -1.4922565105E+00 -3.1055840949E+00
  7.8539816340E-01 -1.4922565105E+00 -3.0604085659E+00
  1.0995574288E+00 -1.4922565105E+00 -3.4281549914E+00
  1.4137166941E+00 -1.4922565105E+00 -3.2815424587E+00
  1.7278759595E+00 -1.4922565105E+00 -2.8929150072E+00
  2.0420352248E+00 -1.4922565105E+00 -3.1263621859E+00
  2.3561944902E+00 -1.4922565105E+00 -2.8761665209E+00
  2.6703537556E+00 -1.4922565105E+00 -2.7873456889E+00
  2.9845130209E+00 -1.4922565105E+00 -2.7211330356E+00
  3.2986722863E+00 -1.4922565105E+00 -2.8626989028E+00
  3.6128315516E+00 -1.4922565105E+00 -2.5317704161E+00
  3.9269908170E+00 -1.4922565105E+00 -2.1641853857E+00
  4.2411500823E+00 -1.4922565105E+00 -2.4564219345E+00
  4.5553093477E+00 -1.4922565105E+00 -2.2978572696E+00
  4.8694686131E+00 -1.4922565105E+00 -2.1570595415E+00
  5.1836278784E+00 -1.4922565105E+00 -2.3880371747E+00
  5.4977871438E+00 -1.4922565105E+00 -2.4658020919E+00
  5.8119464091E+00 -1.4922565105E+00 -2.6202689728E+00
  6.1261056745E+00 -1.4922565105E+00 -2.4381552783E+00
  1.5707963268E-01 -1.3351768778E+00 -1.3181441083E+00
  4.7123889804E-01 -1.3351768778E+00 -2.2047685057E+00
  7.8539816340E-01 -1.3351768778E+00 -1.2761374119E+00
  1.0995574288E+00 -1.3351768778E+00 -1.7350083939E+00
  1.4137166941E+00 -1.3351768778E+00 -1.0606196542E+00
  1.7278759595E+00 -1.3351768778E+00 -1.2468506268E+00
  2.0420352248E+00 -1.3351768778E+00 -2.0225400842E+00
  2.3561944902E+00 -1.3351768778E+00 -2.2726641016E+00
  2.6703537556E+00 -1.3351768778E+00 -9.2436245760E-01
  2.9845130209E+00 -1.3351768778E+00 -1.0733785041E+00
  3.2986722863E+00 -1.3351768778E+00 -1.6477368112E+00
  3.6128315516E+00 -1.3351768778E+00 -1.5027476396E+00
  3.9269908170E+00 -1.3351768778E+00 -1.6032680462E+00
  4.2411500823E+00 -1.3351768778E+00 -6.0776680522E-01
  4.5553093477E+00 -1.3351768778E+00 -9.4385366058E-01
  4.8694686131E+00 -1.3351768778E+00 -4.3268652936E-01
  5.1836278784E+00 -1.3351768778E+00 -1.2070056569E+00
  5.4977871438E+00 -1.3351768778E+00 -1.3443281367E+00
  5.8119464091E+00 -1.3351768778E+00 -7.7740358564E-01
  6.1261056745E+00 -1.3351768778E+00 -9.5675722902E-02
  1.5707963268E-01 -1.1780972451E+00 -4.0722366047E-01
  4.7123889804E-01 -1.1780972451E+00 -4.0023536914E-01
  7.8539816340E-01 -1.1780972451E+00 -1.5835872213E-01
  1.0995574288E+00 -1.1780972451E+00 -8.6792321278E-01
  1.4137166941E+00 -1.1780972451E+00 -8.0059109615E-01
  1.7278759595E+00 -1.1780972451E+00 -1.6143610639E+00
  2.0420352248E+00 -1.1780972451E+00 -3.6636377854E-01
  2.3561944902E+00 -1.1780972451E+00 -5.9636260830E-01
  2.6703537556E+00 -1.1780972451E+00 -1.0280559528E-01
  2.9845130209E+00 -1.1780972451E+00 -3.2345184707E-01
  3.2986722863E+00 -1.1780972451E+00  1.6311391976E-01
  3.6128315516E+00 -1.1780972451E+00 -1.6077795674E-01
  3.9269908170E+00 -1.1780972451E+00  6.1522186428E-02
  4.2411500823E+00 -1.1780972451E+00  1.2253459336E-02
  4.5553093477E+00 -1.1780972451E+00  1.6896674936E-02
  4.8694686131E+00 -1.1780972451E+00 -2.1182740510E-01
  5.1836278784E+00 -1.1780972451E+00  2.9500971706E-01
  5.4977871438E+00 -1.1780972451E+00  7.2123105437E-02
  5.8119464091E+00 -1.1780972451E+00 -3.6835246744E-01
  6.1261056745E+00 -1.1780972451E+00  1.6693396641E-01
  1.5707963268E-01 -1.0210176124E+00  9.5607429864E-01
  4.7123889804E-01 -1.0210176124E+00  6.8769508302E-01
  7.8539816340E-01 -1.0210176124E+00 -9.7185357463E-04
  1.0995574288E+00 -1.0210176124E+00 -1.5849711404E-01
  1.4137166941E+00 -1.0210176124E+00 -1.2335944978E+00
  1.7278759595E+00 -1.0210176124E+00 -2.3997089092E+00
  2.0420352248E+00 -1.0210176124E+00 -1.4600042740E+00
  2.3561944902E+00 -1.0210176124E+00 -4.1433799408E-01
  2.6703537556E+00 -1.0210176124E+00  4.0699592338E-01
  2.9845130209E+00 -1.0210176124E+00  3.2279858679E-01
  3.2986722863E+00 -1.0210176124E+00 -1.3311882699E-01
  3.6128315516E+00 -1.0210176124E+00  1.5753843942E+00
  3.9269908170E+00 -1.0210176124E+00  3.8378878550E-01
  4.2411500823E+00 -1.0210176124E+00 -9.8907814135E-01
  4.5553093477E+00 -1.0210176124E+00  9.9406192520E-01
  4.8694686131E+00 -1.0210176124E+00 -3.7765428094E-01
  5.1836278784E+00 -1.0210176124E+00 -8.9902184421E-01
  5.4977871438E+00 -1.0210176124E+00  7.6067496937E-01
  5.8119464091E+00 -1.0210176124E+00  5.2867940100E-01
  6.1261056745E+00 -1.0210176124E+00 -4.1065741283E-01
  1.5707963268E-01 -8.6393797974E-01  6.6228712136E-01
  4.7123889804E-01 -8.6393797974E-01  1.4248802737E+00
  7.8539816340E-01 -8.6393797974E-01  1.3434131798E+00
  1.0995574288E+00 -8.6393797974E-01  1.8405128759E+00
  1.4137166941E+00 -8.6393797974E-01 -3.4622779181E-01
  1.7278759595E+00 -8.6393797974E-01 -1.7916300613E+00
  2.0420352248E+00 -8.6393797974E-01  2.0487453366E-01
  2.3561944902E+00 -8.6393797974E-01  2.2421458734E+00
  2.6703537556E+00 -8.6393797974E-01 -6.4066255316E-01
  2.9845130209E+00 -8.6393797974E-01 -1.0792608731E-02
  3.2986722863E+00 -8.6393797974E-01 -4.6418921199E-01
  3.6128315516E+00 -8.6393797974E-01  1.3917925582E+00
  3.9269908170E+00 -8.6393797974E-01  6.6163658564E+00
  4.2411500823E+00 -8.6393797974E-01 -2.1254483486E+00
  4.5553093477E+00 -8.6393797974E-01  1.0063660617E+00
  4.8694686131E+00 -8.6393797974E-01  1.3909099645E-01
  5.1836278784E+00 -8.6393797974E-01 -1.6743113534E+00
  5.4977871438E+00 -8.6393797974E-01  5.0367145628E+00
  5.8119464091E+00 -8.6393797974E-01  1.0051633140E+01
  6.1261056745E+00 -8.6393797974E-01 -1.0887203403E+00
  1.5707963268E-01 -7.0685834706E-01 -2.9749196367E+00
  4.7123889804E-01 -7.0685834706E-01  4.6735300828E-02
  7.8539816340E-01 -7.0685834706E-01  2.2998546370E+00
  1.0995574288E+00 -7.0685834706E-01  2.3377679944E+00
  1.4137166941E+00 -7.0685834706E-01  1.5344187355E+00
  1.7278759595E+00 -7.0685834706E-01 -8.6441735049E+00
  2.0420352248E+00 -7.0685834706E-01  1.1526482187E-01
  2.3561944902E+00 -7.0685834706E-01  2.3515946511E+00
